pattern,gene,rank,cogaps_weight,contrast_scope,cell_type,mean_log2fc_stim_vs_ctrl,median_log2fc_stim_vs_ctrl,n_pairs,n_up_pairs,n_down_pairs,n_zero_pairs,sign_consistency,wilcoxon_pvalue,direction,evidence_strength,wilcoxon_fdr
Pattern1,TYROBP,6,4.188070774078369,by_cell_type,CD14+ Monocytes,-0.07827482278777165,-0.05765215625862563,8,1,7,0,0.875,0.109375,down_in_stim,weak_or_mixed,0.13747410220994474
Pattern1,TYROBP,6,4.188070774078369,by_cell_type,CD4 T cells,-0.03787011051076805,-0.17942935778226055,8,3,5,0,0.625,0.7421875,down_in_stim,weak_or_mixed,0.7835158062645011
Pattern1,TYROBP,6,4.188070774078369,by_cell_type,CD8 T cells,-0.5101658570163969,-0.4671290747321102,5,1,4,0,0.8,0.3125,down_in_stim,strong,0.35635964912280704
Pattern1,TYROBP,6,4.188070774078369,by_cell_type,Dendritic cells,0.06138166406959981,0.027166593473586076,6,3,3,0,0.5,1.0,up_in_stim,weak_or_mixed,1.0
Pattern1,TYROBP,6,4.188070774078369,by_cell_type,FCGR3A+ Monocytes,0.40609848799352416,0.4202828674649437,6,6,0,0,1.0,0.03125,up_in_stim,moderate,0.0490301724137931
Pattern1,TYROBP,6,4.188070774078369,by_cell_type,Megakaryocytes,3.8993926242885006,3.8993926242885006,1,1,0,0,1.0,,up_in_stim,strong,
Pattern1,TYROBP,6,4.188070774078369,by_cell_type,NK cells,-0.29077549870512165,-0.2421751231788658,8,1,7,0,0.875,0.0234375,down_in_stim,moderate,0.0490301724137931
Pattern1,FCGR3A,7,4.175652027130127,by_cell_type,B cells,-1.4671960182020758,-0.17592419223223255,8,0,4,4,0.5,0.125,down_in_stim,weak_or_mixed,0.15455163043478262
Pattern1,FCGR3A,7,4.175652027130127,by_cell_type,CD14+ Monocytes,-0.8679390215523092,-0.9411277933980271,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,FCGR3A,7,4.175652027130127,by_cell_type,CD4 T cells,-0.3163276094272186,-0.27442556151732855,8,3,5,0,0.625,0.640625,down_in_stim,moderate,0.6826331967213115
Pattern1,FCGR3A,7,4.175652027130127,by_cell_type,CD8 T cells,1.4292138223971864,-0.7418487095208963,5,2,3,0,0.6,0.8125,up_in_stim,weak_or_mixed,0.8479071100917431
Pattern1,FCGR3A,7,4.175652027130127,by_cell_type,Dendritic cells,-2.014142228103914,-1.531423087908248,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.0490301724137931
Pattern1,FCGR3A,7,4.175652027130127,by_cell_type,FCGR3A+ Monocytes,0.0364770854466944,-0.028658319468022775,6,3,3,0,0.5,1.0,up_in_stim,weak_or_mixed,1.0
Pattern1,FCGR3A,7,4.175652027130127,by_cell_type,Megakaryocytes,0.0,0.0,1,0,0,1,1.0,,mixed_or_unclear,weak_or_mixed,
Pattern1,FCGR3A,7,4.175652027130127,by_cell_type,NK cells,-0.8417675860775164,-1.0661144970680203,8,1,7,0,0.875,0.0390625,down_in_stim,strong,0.06045386904761905
Pattern1,FCER1G,8,4.041939735412598,by_cell_type,B cells,1.705454072828551,0.5607529760619969,8,7,1,0,0.875,0.078125,up_in_stim,strong,0.09901636490250697
Pattern1,FCER1G,8,4.041939735412598,by_cell_type,CD14+ Monocytes,-0.29550558352771383,-0.3239693445674092,8,0,8,0,1.0,0.0078125,down_in_stim,moderate,0.020547326589595377
Pattern1,FCER1G,8,4.041939735412598,by_cell_type,CD4 T cells,0.135874569202024,-0.017200133800864492,8,4,4,0,0.5,0.84375,up_in_stim,weak_or_mixed,0.8725142045454546
Pattern1,FCER1G,8,4.041939735412598,by_cell_type,CD8 T cells,-0.08530600269303204,-0.14553801984538683,5,2,3,0,0.6,1.0,down_in_stim,weak_or_mixed,1.0
Pattern1,FCER1G,8,4.041939735412598,by_cell_type,Dendritic cells,-0.39826729007051426,-0.31394663522244404,6,1,5,0,0.8333333333333334,0.15625,down_in_stim,moderate,0.18907912234042554
Pattern1,FCER1G,8,4.041939735412598,by_cell_type,FCGR3A+ Monocytes,-0.2834666488849538,-0.32011402606948547,6,0,6,0,1.0,0.03125,down_in_stim,moderate,0.0490301724137931
Pattern1,FCER1G,8,4.041939735412598,by_cell_type,Megakaryocytes,-1.7441400692576092,-1.7441400692576092,1,0,1,0,1.0,,down_in_stim,strong,
Pattern1,FCER1G,8,4.041939735412598,by_cell_type,NK cells,-0.252158869518194,-0.2928147581024234,8,1,7,0,0.875,0.0234375,down_in_stim,moderate,0.0490301724137931
Pattern1,ACTB,9,3.97938871383667,by_cell_type,B cells,-0.7411058585931118,-0.8163699895181855,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,ACTB,9,3.97938871383667,by_cell_type,CD14+ Monocytes,-1.5466987605632654,-1.5255323381283494,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,ACTB,9,3.97938871383667,by_cell_type,CD4 T cells,-0.6073799271502784,-0.592141269920222,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,ACTB,9,3.97938871383667,by_cell_type,CD8 T cells,-0.5180223489678845,-0.4884144173616427,5,0,5,0,1.0,0.0625,down_in_stim,strong,0.0803319209039548
Pattern1,ACTB,9,3.97938871383667,by_cell_type,Dendritic cells,-1.0680027255884637,-1.058679915592819,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.0490301724137931
Pattern1,ACTB,9,3.97938871383667,by_cell_type,FCGR3A+ Monocytes,-1.2759696853826972,-1.2630831989260072,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.0490301724137931
Pattern1,ACTB,9,3.97938871383667,by_cell_type,Megakaryocytes,0.6391114972590355,0.6391114972590355,1,1,0,0,1.0,,up_in_stim,strong,
Pattern1,ACTB,9,3.97938871383667,by_cell_type,NK cells,-0.40242536629756875,-0.3476425544438113,8,1,7,0,0.875,0.0546875,down_in_stim,moderate,0.0803319209039548
Pattern1,SAT1,10,3.7754318714141846,by_cell_type,B cells,1.7244797266426604,1.7464828467133673,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern1,SAT1,10,3.7754318714141846,by_cell_type,CD14+ Monocytes,1.3167229340569673,1.3521610813284148,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern1,SAT1,10,3.7754318714141846,by_cell_type,CD4 T cells,2.211620710996808,2.3007625889330825,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern1,SAT1,10,3.7754318714141846,by_cell_type,CD8 T cells,2.1715948336069015,1.9080398500723934,5,5,0,0,1.0,0.0625,up_in_stim,strong,0.0803319209039548
Pattern1,SAT1,10,3.7754318714141846,by_cell_type,Dendritic cells,0.9108086154749154,0.9984999932476049,6,6,0,0,1.0,0.03125,up_in_stim,strong,0.0490301724137931
Pattern1,SAT1,10,3.7754318714141846,by_cell_type,FCGR3A+ Monocytes,0.8047046237271974,0.8292165386060919,6,6,0,0,1.0,0.03125,up_in_stim,strong,0.0490301724137931
Pattern1,SAT1,10,3.7754318714141846,by_cell_type,Megakaryocytes,3.016407296823499,3.016407296823499,1,1,0,0,1.0,,up_in_stim,strong,
Pattern1,SAT1,10,3.7754318714141846,by_cell_type,NK cells,2.6639190835282225,2.6800554126718525,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern1,PSAP,11,2.9952497482299805,by_cell_type,B cells,-1.0089956101052127,-1.0056277864817167,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,PSAP,11,2.9952497482299805,by_cell_type,CD14+ Monocytes,-0.8257606993185069,-0.8199267136063764,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,PSAP,11,2.9952497482299805,by_cell_type,CD4 T cells,-0.8242643117318205,-0.8412641169513915,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,PSAP,11,2.9952497482299805,by_cell_type,CD8 T cells,-0.7618085254875961,-0.9620337032071298,5,0,5,0,1.0,0.0625,down_in_stim,strong,0.0803319209039548
Pattern1,PSAP,11,2.9952497482299805,by_cell_type,Dendritic cells,-0.7986699850874176,-0.7050355042904499,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.0490301724137931
Pattern1,PSAP,11,2.9952497482299805,by_cell_type,FCGR3A+ Monocytes,-0.15391005990103293,-0.10893351213256786,6,1,5,0,0.8333333333333334,0.0625,down_in_stim,suggestive,0.0803319209039548
Pattern1,PSAP,11,2.9952497482299805,by_cell_type,Megakaryocytes,0.3454884012472439,0.3454884012472439,1,1,0,0,1.0,,up_in_stim,moderate,
Pattern1,PSAP,11,2.9952497482299805,by_cell_type,NK cells,-0.9741264563346563,-0.77274678357041,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,CXCL16,12,2.9700043201446533,by_cell_type,B cells,-2.588566762134306,-1.8439519594529203,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,CXCL16,12,2.9700043201446533,by_cell_type,CD14+ Monocytes,-0.9958809789648722,-0.9592342399817144,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,CXCL16,12,2.9700043201446533,by_cell_type,CD4 T cells,-0.02701561236547667,0.11599861491231422,8,5,3,0,0.625,0.640625,down_in_stim,weak_or_mixed,0.6826331967213115
Pattern1,CXCL16,12,2.9700043201446533,by_cell_type,CD8 T cells,1.6516812110074057,0.06753315022162454,5,3,0,2,0.6,0.25,up_in_stim,weak_or_mixed,0.2931701030927835
Pattern1,CXCL16,12,2.9700043201446533,by_cell_type,Dendritic cells,-2.4178486228239584,-2.037703561699101,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.0490301724137931
Pattern1,CXCL16,12,2.9700043201446533,by_cell_type,FCGR3A+ Monocytes,-0.18614774518729238,-0.20426239636968369,6,1,5,0,0.8333333333333334,0.3125,down_in_stim,suggestive,0.35635964912280704
Pattern1,CXCL16,12,2.9700043201446533,by_cell_type,Megakaryocytes,3.8993926242885006,3.8993926242885006,1,1,0,0,1.0,,up_in_stim,strong,
Pattern1,CXCL16,12,2.9700043201446533,by_cell_type,NK cells,-2.0890221680389334,-1.7217090856114758,8,2,6,0,0.75,0.25,down_in_stim,strong,0.2931701030927835
Pattern1,FTL,13,2.8990418910980225,by_cell_type,B cells,-0.925740020974422,-0.8218382879384096,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,FTL,13,2.8990418910980225,by_cell_type,CD14+ Monocytes,-0.604903657267645,-0.5751191166642826,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,FTL,13,2.8990418910980225,by_cell_type,CD4 T cells,-0.671531719426218,-0.6680025334571393,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,FTL,13,2.8990418910980225,by_cell_type,CD8 T cells,-0.7888354557232727,-0.7397202165468251,5,0,5,0,1.0,0.0625,down_in_stim,strong,0.0803319209039548
Pattern1,FTL,13,2.8990418910980225,by_cell_type,Dendritic cells,-0.4946768045828482,-0.5708221172266859,6,1,5,0,0.8333333333333334,0.0625,down_in_stim,moderate,0.0803319209039548
Pattern1,FTL,13,2.8990418910980225,by_cell_type,FCGR3A+ Monocytes,-0.6844409423777827,-0.6948111792041063,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.0490301724137931
Pattern1,FTL,13,2.8990418910980225,by_cell_type,Megakaryocytes,-0.2730577877128404,-0.2730577877128404,1,0,1,0,1.0,,down_in_stim,moderate,
Pattern1,FTL,13,2.8990418910980225,by_cell_type,NK cells,-0.7394631680025365,-0.81937274878912,8,1,7,0,0.875,0.015625,down_in_stim,strong,0.038018048128342245
Pattern1,PFN1,14,2.8421621322631836,by_cell_type,B cells,-0.9187309023057533,-0.8901162834168312,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,PFN1,14,2.8421621322631836,by_cell_type,CD14+ Monocytes,-1.5777032034883467,-1.5870797107727288,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,PFN1,14,2.8421621322631836,by_cell_type,CD4 T cells,-0.4684921392017871,-0.5132717421465944,8,0,8,0,1.0,0.0078125,down_in_stim,moderate,0.020547326589595377
Pattern1,PFN1,14,2.8421621322631836,by_cell_type,CD8 T cells,-0.7703482087900898,-0.7632291298437508,5,0,5,0,1.0,0.0625,down_in_stim,strong,0.0803319209039548
Pattern1,PFN1,14,2.8421621322631836,by_cell_type,Dendritic cells,-1.1298928693628627,-1.1188838641555643,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.0490301724137931
Pattern1,PFN1,14,2.8421621322631836,by_cell_type,FCGR3A+ Monocytes,-1.3146745944740001,-1.268135348945326,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.0490301724137931
Pattern1,PFN1,14,2.8421621322631836,by_cell_type,Megakaryocytes,4.850223776745797,4.850223776745797,1,1,0,0,1.0,,up_in_stim,strong,
Pattern1,PFN1,14,2.8421621322631836,by_cell_type,NK cells,-0.8729971762939712,-0.8879509260263161,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,CTSS,15,2.6951894760131836,by_cell_type,B cells,0.3106635420880066,0.4844490985827665,8,7,1,0,0.875,0.1953125,up_in_stim,moderate,0.23202921018276762
Pattern1,CTSS,15,2.6951894760131836,by_cell_type,CD14+ Monocytes,0.7303683919460235,0.8321683301138139,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern1,CTSS,15,2.6951894760131836,by_cell_type,CD4 T cells,1.2561097359224993,1.184200532615284,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern1,CTSS,15,2.6951894760131836,by_cell_type,CD8 T cells,0.8606513629614415,0.8132199483691025,5,4,1,0,0.8,0.125,up_in_stim,strong,0.15455163043478262
Pattern1,CTSS,15,2.6951894760131836,by_cell_type,Dendritic cells,0.9135200731210787,0.9303725092376984,6,6,0,0,1.0,0.03125,up_in_stim,strong,0.0490301724137931
Pattern1,CTSS,15,2.6951894760131836,by_cell_type,FCGR3A+ Monocytes,0.13947307781132157,0.1120550648108205,6,6,0,0,1.0,0.03125,up_in_stim,suggestive,0.0490301724137931
Pattern1,CTSS,15,2.6951894760131836,by_cell_type,Megakaryocytes,0.0,0.0,1,0,0,1,1.0,,mixed_or_unclear,weak_or_mixed,
Pattern1,CTSS,15,2.6951894760131836,by_cell_type,NK cells,1.200466064345935,1.1307964943403999,8,7,1,0,0.875,0.015625,up_in_stim,strong,0.038018048128342245
Pattern2,ISG15,1,9.908001899719238,by_cell_type,B cells,5.193834522909405,5.15576919024263,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern2,ISG15,1,9.908001899719238,by_cell_type,CD14+ Monocytes,6.973226009646226,6.948121795810569,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern2,ISG15,1,9.908001899719238,by_cell_type,CD4 T cells,4.728695241407676,4.637218833145979,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern2,ISG15,1,9.908001899719238,by_cell_type,CD8 T cells,4.5860875863447506,4.7415826057468315,5,5,0,0,1.0,0.0625,up_in_stim,strong,0.0803319209039548
Pattern2,ISG15,1,9.908001899719238,by_cell_type,Dendritic cells,6.190763134556248,6.322000036762355,6,6,0,0,1.0,0.03125,up_in_stim,strong,0.0490301724137931
Pattern2,ISG15,1,9.908001899719238,by_cell_type,FCGR3A+ Monocytes,5.9486051000351665,5.875016166053417,6,6,0,0,1.0,0.03125,up_in_stim,strong,0.0490301724137931
Pattern2,ISG15,1,9.908001899719238,by_cell_type,Megakaryocytes,2.080630671141134,2.080630671141134,1,1,0,0,1.0,,up_in_stim,strong,
Pattern2,ISG15,1,9.908001899719238,by_cell_type,NK cells,4.216121740090505,4.199884011446022,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern2,ISG20,2,8.472368240356445,by_cell_type,B cells,2.913496975803006,2.8878553115652377,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern2,ISG20,2,8.472368240356445,by_cell_type,CD14+ Monocytes,4.999831877420084,5.287996730714882,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern2,ISG20,2,8.472368240356445,by_cell_type,CD4 T cells,2.7361059770094265,2.726809151587065,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern2,ISG20,2,8.472368240356445,by_cell_type,CD8 T cells,3.438071194587599,3.28468016533591,5,5,0,0,1.0,0.0625,up_in_stim,strong,0.0803319209039548
Pattern2,ISG20,2,8.472368240356445,by_cell_type,Dendritic cells,3.7155330089911778,3.764903880812695,6,6,0,0,1.0,0.03125,up_in_stim,strong,0.0490301724137931
Pattern2,ISG20,2,8.472368240356445,by_cell_type,FCGR3A+ Monocytes,4.402614344195111,4.397344753037054,6,6,0,0,1.0,0.03125,up_in_stim,strong,0.0490301724137931
Pattern2,ISG20,2,8.472368240356445,by_cell_type,Megakaryocytes,2.8655469303877465,2.8655469303877465,1,1,0,0,1.0,,up_in_stim,strong,
Pattern2,ISG20,2,8.472368240356445,by_cell_type,NK cells,3.133724424824873,3.0962254637811863,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern2,IFI6,3,6.688203811645508,by_cell_type,B cells,6.877894067514899,5.908985526003511,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern2,IFI6,3,6.688203811645508,by_cell_type,CD14+ Monocytes,4.307948996780553,4.016197338450288,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern2,IFI6,3,6.688203811645508,by_cell_type,CD4 T cells,5.360910406478599,5.345629283704695,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern2,IFI6,3,6.688203811645508,by_cell_type,CD8 T cells,5.222347558090314,5.05004432054745,5,5,0,0,1.0,0.0625,up_in_stim,strong,0.0803319209039548
Pattern2,IFI6,3,6.688203811645508,by_cell_type,Dendritic cells,5.0317455397666215,5.026517660901135,6,6,0,0,1.0,0.03125,up_in_stim,strong,0.0490301724137931
Pattern2,IFI6,3,6.688203811645508,by_cell_type,FCGR3A+ Monocytes,3.666465549919096,3.5236339299707096,6,6,0,0,1.0,0.03125,up_in_stim,strong,0.0490301724137931
Pattern2,IFI6,3,6.688203811645508,by_cell_type,Megakaryocytes,1.3032509256424358,1.3032509256424358,1,1,0,0,1.0,,up_in_stim,strong,
Pattern2,IFI6,3,6.688203811645508,by_cell_type,NK cells,5.076542934286308,5.0910377725409806,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern2,IFIT3,4,4.989565372467041,by_cell_type,B cells,8.709739684031701,6.918016552173569,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern2,IFIT3,4,4.989565372467041,by_cell_type,CD14+ Monocytes,7.107348208260891,6.994971082879234,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern2,IFIT3,4,4.989565372467041,by_cell_type,CD4 T cells,6.515389837430079,6.721237219577294,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern2,IFIT3,4,4.989565372467041,by_cell_type,CD8 T cells,9.231667832944305,6.869559518339218,5,5,0,0,1.0,0.0625,up_in_stim,strong,0.0803319209039548
Pattern2,IFIT3,4,4.989565372467041,by_cell_type,Dendritic cells,10.515385081068557,10.916847649942586,6,6,0,0,1.0,0.03125,up_in_stim,strong,0.0490301724137931
