"gene","pattern","rank","cogaps_weight","contrast_scope","cell_type","mean_log2fc_stim_vs_ctrl","median_log2fc_stim_vs_ctrl","n_pairs","n_up_pairs","n_down_pairs","n_zero_pairs","sign_consistency","wilcoxon_pvalue","direction","evidence_strength","wilcoxon_fdr"
"TYROBP","Pattern1",6,4.18807077407837,"by_cell_type","NK cells",-0.290775498705122,-0.242175123178866,8,1,7,0,0.875,0.0299739735865559,"down_in_stim","moderate",0.0545853156888165
"FCGR3A","Pattern1",7,4.17565202713013,"by_cell_type","B cells",-1.46719601820208,-0.175924192232233,8,0,4,4,0.5,0.100348246462291,"down_in_stim","weak_or_mixed",0.123834006272614
"FCGR3A","Pattern1",7,4.17565202713013,"by_cell_type","CD14+ Monocytes",-0.867939021552309,-0.941127793398027,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"FCGR3A","Pattern1",7,4.17565202713013,"by_cell_type","CD4 T cells",-0.316327609427219,-0.274425561517329,8,3,5,0,0.625,0.62406453246517,"down_in_stim","moderate",0.659818229637654
"FCGR3A","Pattern1",7,4.17565202713013,"by_cell_type","CD8 T cells",1.42921382239719,-0.741848709520896,5,2,3,0,0.6,0.787406490666269,"up_in_stim","weak_or_mixed",0.817456169924791
"FCGR3A","Pattern1",7,4.17565202713013,"by_cell_type","Dendritic cells",-2.01414222810391,-1.53142308790825,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0545853156888165
"FCGR3A","Pattern1",7,4.17565202713013,"by_cell_type","FCGR3A+ Monocytes",0.0364770854466944,-0.0286583194680228,6,3,3,0,0.5,1,"up_in_stim","weak_or_mixed",1
"FCGR3A","Pattern1",7,4.17565202713013,"by_cell_type","Megakaryocytes",0,0,1,0,0,1,1,NA,"mixed_or_unclear","weak_or_mixed",NA
"FCGR3A","Pattern1",7,4.17565202713013,"by_cell_type","NK cells",-0.841767586077516,-1.06611449706802,8,1,7,0,0.875,0.042315274905714,"down_in_stim","strong",0.0631617706313231
"FCER1G","Pattern1",8,4.0419397354126,"by_cell_type","B cells",1.70545407282855,0.560752976061997,8,7,1,0,0.875,0.0800579199844347,"up_in_stim","strong",0.0990960838831723
"FCER1G","Pattern1",8,4.0419397354126,"by_cell_type","CD14+ Monocytes",-0.295505583527714,-0.323969344567409,8,0,8,0,1,0.0142661867014469,"down_in_stim","moderate",0.0355341828269169
"FCER1G","Pattern1",8,4.0419397354126,"by_cell_type","CD4 T cells",0.135874569202024,-0.0172001338008645,8,4,4,0,0.5,0.833634883024682,"up_in_stim","weak_or_mixed",0.856850031665876
"FCER1G","Pattern1",8,4.0419397354126,"by_cell_type","CD8 T cells",-0.085306002693032,-0.145538019845387,5,2,3,0,0.6,1,"down_in_stim","weak_or_mixed",1
"FCER1G","Pattern1",8,4.0419397354126,"by_cell_type","Dendritic cells",-0.398267290070514,-0.313946635222444,6,1,5,0,0.833333333333333,0.142213241936393,"down_in_stim","moderate",0.169321337906673
"FCER1G","Pattern1",8,4.0419397354126,"by_cell_type","FCGR3A+ Monocytes",-0.283466648884954,-0.320114026069485,6,0,6,0,1,0.0360316862182336,"down_in_stim","moderate",0.0545853156888165
"FCER1G","Pattern1",8,4.0419397354126,"by_cell_type","Megakaryocytes",-1.74414006925761,-1.74414006925761,1,0,1,0,1,NA,"down_in_stim","strong",NA
"FCER1G","Pattern1",8,4.0419397354126,"by_cell_type","NK cells",-0.252158869518194,-0.292814758102423,8,1,7,0,0.875,0.0299739735865559,"down_in_stim","moderate",0.0545853156888165
"ACTB","Pattern1",9,3.97938871383667,"by_cell_type","B cells",-0.741105858593112,-0.816369989518186,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"ACTB","Pattern1",9,3.97938871383667,"by_cell_type","CD14+ Monocytes",-1.54669876056327,-1.52553233812835,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"ACTB","Pattern1",9,3.97938871383667,"by_cell_type","CD4 T cells",-0.607379927150278,-0.592141269920222,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"ACTB","Pattern1",9,3.97938871383667,"by_cell_type","CD8 T cells",-0.518022348967884,-0.488414417361643,5,0,5,0,1,0.0590582290905367,"down_in_stim","strong",0.0736928206665611
"ACTB","Pattern1",9,3.97938871383667,"by_cell_type","Dendritic cells",-1.06800272558846,-1.05867991559282,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0545853156888165
"ACTB","Pattern1",9,3.97938871383667,"by_cell_type","FCGR3A+ Monocytes",-1.2759696853827,-1.26308319892601,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0545853156888165
"ACTB","Pattern1",9,3.97938871383667,"by_cell_type","Megakaryocytes",0.639111497259035,0.639111497259035,1,1,0,0,1,NA,"up_in_stim","strong",NA
"ACTB","Pattern1",9,3.97938871383667,"by_cell_type","NK cells",-0.402425366297569,-0.347642554443811,8,1,7,0,0.875,0.058707408431205,"down_in_stim","moderate",0.0736928206665611
"SAT1","Pattern1",10,3.77543187141418,"by_cell_type","B cells",1.72447972664266,1.74648284671337,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"SAT1","Pattern1",10,3.77543187141418,"by_cell_type","CD14+ Monocytes",1.31672293405697,1.35216108132841,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"SAT1","Pattern1",10,3.77543187141418,"by_cell_type","CD4 T cells",2.21162071099681,2.30076258893308,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"SAT1","Pattern1",10,3.77543187141418,"by_cell_type","CD8 T cells",2.1715948336069,1.90803985007239,5,5,0,0,1,0.0590582290905367,"up_in_stim","strong",0.0736928206665611
"SAT1","Pattern1",10,3.77543187141418,"by_cell_type","Dendritic cells",0.910808615474915,0.998499993247605,6,6,0,0,1,0.0360316862182336,"up_in_stim","strong",0.0545853156888165
"SAT1","Pattern1",10,3.77543187141418,"by_cell_type","FCGR3A+ Monocytes",0.804704623727197,0.829216538606092,6,6,0,0,1,0.0360316862182336,"up_in_stim","strong",0.0545853156888165
"SAT1","Pattern1",10,3.77543187141418,"by_cell_type","Megakaryocytes",3.0164072968235,3.0164072968235,1,1,0,0,1,NA,"up_in_stim","strong",NA
"SAT1","Pattern1",10,3.77543187141418,"by_cell_type","NK cells",2.66391908352822,2.68005541267185,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"PSAP","Pattern1",11,2.99524974822998,"by_cell_type","B cells",-1.00899561010521,-1.00562778648172,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"PSAP","Pattern1",11,2.99524974822998,"by_cell_type","CD14+ Monocytes",-0.825760699318507,-0.819926713606376,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"PSAP","Pattern1",11,2.99524974822998,"by_cell_type","CD4 T cells",-0.82426431173182,-0.841264116951391,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"PSAP","Pattern1",11,2.99524974822998,"by_cell_type","CD8 T cells",-0.761808525487596,-0.96203370320713,5,0,5,0,1,0.0590582290905367,"down_in_stim","strong",0.0736928206665611
"PSAP","Pattern1",11,2.99524974822998,"by_cell_type","Dendritic cells",-0.798669985087418,-0.70503550429045,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0545853156888165
"PSAP","Pattern1",11,2.99524974822998,"by_cell_type","FCGR3A+ Monocytes",-0.153910059901033,-0.108933512132568,6,1,5,0,0.833333333333333,0.0591720678258594,"down_in_stim","suggestive",0.0736928206665611
"PSAP","Pattern1",11,2.99524974822998,"by_cell_type","Megakaryocytes",0.345488401247244,0.345488401247244,1,1,0,0,1,NA,"up_in_stim","moderate",NA
"PSAP","Pattern1",11,2.99524974822998,"by_cell_type","NK cells",-0.974126456334656,-0.77274678357041,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"CXCL16","Pattern1",12,2.97000432014465,"by_cell_type","B cells",-2.58856676213431,-1.84395195945292,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"CXCL16","Pattern1",12,2.97000432014465,"by_cell_type","CD14+ Monocytes",-0.995880978964872,-0.959234239981714,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"CXCL16","Pattern1",12,2.97000432014465,"by_cell_type","CD4 T cells",-0.0270156123654767,0.115998614912314,8,5,3,0,0.625,0.62406453246517,"down_in_stim","weak_or_mixed",0.659818229637654
"CXCL16","Pattern1",12,2.97000432014465,"by_cell_type","CD8 T cells",1.65168121100741,0.0675331502216245,5,3,0,2,0.6,0.18144920772142,"up_in_stim","weak_or_mixed",0.212779518019327
"CXCL16","Pattern1",12,2.97000432014465,"by_cell_type","Dendritic cells",-2.41784862282396,-2.0377035616991,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0545853156888165
"CXCL16","Pattern1",12,2.97000432014465,"by_cell_type","FCGR3A+ Monocytes",-0.186147745187292,-0.204262396369684,6,1,5,0,0.833333333333333,0.29450739368011,"down_in_stim","suggestive",0.331218841645775
"CXCL16","Pattern1",12,2.97000432014465,"by_cell_type","Megakaryocytes",3.8993926242885,3.8993926242885,1,1,0,0,1,NA,"up_in_stim","strong",NA
"CXCL16","Pattern1",12,2.97000432014465,"by_cell_type","NK cells",-2.08902216803893,-1.72170908561148,8,2,6,0,0.75,0.23395283347059,"down_in_stim","strong",0.269078896286287
"FTL","Pattern1",13,2.89904189109802,"by_cell_type","B cells",-0.925740020974422,-0.82183828793841,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"FTL","Pattern1",13,2.89904189109802,"by_cell_type","CD14+ Monocytes",-0.604903657267645,-0.575119116664283,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"FTL","Pattern1",13,2.89904189109802,"by_cell_type","CD4 T cells",-0.671531719426218,-0.668002533457139,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"FTL","Pattern1",13,2.89904189109802,"by_cell_type","CD8 T cells",-0.788835455723273,-0.739720216546825,5,0,5,0,1,0.0590582290905367,"down_in_stim","strong",0.0736928206665611
"FTL","Pattern1",13,2.89904189109802,"by_cell_type","Dendritic cells",-0.494676804582848,-0.570822117226686,6,1,5,0,0.833333333333333,0.0591720678258594,"down_in_stim","moderate",0.0736928206665611
"FTL","Pattern1",13,2.89904189109802,"by_cell_type","FCGR3A+ Monocytes",-0.684440942377783,-0.694811179204106,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0545853156888165
"FTL","Pattern1",13,2.89904189109802,"by_cell_type","Megakaryocytes",-0.27305778771284,-0.27305778771284,1,0,1,0,1,NA,"down_in_stim","moderate",NA
"FTL","Pattern1",13,2.89904189109802,"by_cell_type","NK cells",-0.739463168002537,-0.81937274878912,8,1,7,0,0.875,0.0208625823327655,"down_in_stim","strong",0.048401191012016
"PFN1","Pattern1",14,2.84216213226318,"by_cell_type","B cells",-0.918730902305753,-0.890116283416831,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"PFN1","Pattern1",14,2.84216213226318,"by_cell_type","CD14+ Monocytes",-1.57770320348835,-1.58707971077273,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"PFN1","Pattern1",14,2.84216213226318,"by_cell_type","CD4 T cells",-0.468492139201787,-0.513271742146594,8,0,8,0,1,0.0142661867014469,"down_in_stim","moderate",0.0355341828269169
"PFN1","Pattern1",14,2.84216213226318,"by_cell_type","CD8 T cells",-0.77034820879009,-0.763229129843751,5,0,5,0,1,0.0590582290905367,"down_in_stim","strong",0.0736928206665611
"PFN1","Pattern1",14,2.84216213226318,"by_cell_type","Dendritic cells",-1.12989286936286,-1.11888386415556,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0545853156888165
"PFN1","Pattern1",14,2.84216213226318,"by_cell_type","FCGR3A+ Monocytes",-1.314674594474,-1.26813534894533,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0545853156888165
"PFN1","Pattern1",14,2.84216213226318,"by_cell_type","Megakaryocytes",4.8502237767458,4.8502237767458,1,1,0,0,1,NA,"up_in_stim","strong",NA
"PFN1","Pattern1",14,2.84216213226318,"by_cell_type","NK cells",-0.872997176293971,-0.887950926026316,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"CTSS","Pattern1",15,2.69518947601318,"by_cell_type","B cells",0.310663542088007,0.484449098582767,8,7,1,0,0.875,0.183430618982178,"up_in_stim","moderate",0.212779518019327
"CTSS","Pattern1",15,2.69518947601318,"by_cell_type","CD14+ Monocytes",0.730368391946024,0.832168330113814,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"CTSS","Pattern1",15,2.69518947601318,"by_cell_type","CD4 T cells",1.2561097359225,1.18420053261528,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"CTSS","Pattern1",15,2.69518947601318,"by_cell_type","CD8 T cells",0.860651362961442,0.813219948369102,5,4,1,0,0.8,0.105645429201877,"up_in_stim","strong",0.128804937705592
"CTSS","Pattern1",15,2.69518947601318,"by_cell_type","Dendritic cells",0.913520073121079,0.930372509237698,6,6,0,0,1,0.0360316862182336,"up_in_stim","strong",0.0545853156888165
"CTSS","Pattern1",15,2.69518947601318,"by_cell_type","FCGR3A+ Monocytes",0.139473077811322,0.112055064810821,6,6,0,0,1,0.0360316862182336,"up_in_stim","suggestive",0.0545853156888165
"CTSS","Pattern1",15,2.69518947601318,"by_cell_type","Megakaryocytes",0,0,1,0,0,1,1,NA,"mixed_or_unclear","weak_or_mixed",NA
"CTSS","Pattern1",15,2.69518947601318,"by_cell_type","NK cells",1.20046606434594,1.1307964943404,8,7,1,0,0.875,0.0208625823327655,"up_in_stim","strong",0.048401191012016
"ISG15","Pattern2",1,9.90800189971924,"by_cell_type","B cells",5.19383452290941,5.15576919024263,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"ISG15","Pattern2",1,9.90800189971924,"by_cell_type","CD14+ Monocytes",6.97322600964623,6.94812179581057,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"ISG15","Pattern2",1,9.90800189971924,"by_cell_type","CD4 T cells",4.72869524140768,4.63721883314598,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"ISG15","Pattern2",1,9.90800189971924,"by_cell_type","CD8 T cells",4.58608758634475,4.74158260574683,5,5,0,0,1,0.0590582290905367,"up_in_stim","strong",0.0736928206665611
"ISG15","Pattern2",1,9.90800189971924,"by_cell_type","Dendritic cells",6.19076313455625,6.32200003676236,6,6,0,0,1,0.0360316862182336,"up_in_stim","strong",0.0545853156888165
"ISG15","Pattern2",1,9.90800189971924,"by_cell_type","FCGR3A+ Monocytes",5.94860510003517,5.87501616605342,6,6,0,0,1,0.0360316862182336,"up_in_stim","strong",0.0545853156888165
"ISG15","Pattern2",1,9.90800189971924,"by_cell_type","Megakaryocytes",2.08063067114113,2.08063067114113,1,1,0,0,1,NA,"up_in_stim","strong",NA
"ISG15","Pattern2",1,9.90800189971924,"by_cell_type","NK cells",4.2161217400905,4.19988401144602,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"ISG20","Pattern2",2,8.47236824035645,"by_cell_type","B cells",2.91349697580301,2.88785531156524,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"ISG20","Pattern2",2,8.47236824035645,"by_cell_type","CD14+ Monocytes",4.99983187742008,5.28799673071488,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"ISG20","Pattern2",2,8.47236824035645,"by_cell_type","CD4 T cells",2.73610597700943,2.72680915158706,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"ISG20","Pattern2",2,8.47236824035645,"by_cell_type","CD8 T cells",3.4380711945876,3.28468016533591,5,5,0,0,1,0.0590582290905367,"up_in_stim","strong",0.0736928206665611
"ISG20","Pattern2",2,8.47236824035645,"by_cell_type","Dendritic cells",3.71553300899118,3.7649038808127,6,6,0,0,1,0.0360316862182336,"up_in_stim","strong",0.0545853156888165
"ISG20","Pattern2",2,8.47236824035645,"by_cell_type","FCGR3A+ Monocytes",4.40261434419511,4.39734475303705,6,6,0,0,1,0.0360316862182336,"up_in_stim","strong",0.0545853156888165
"ISG20","Pattern2",2,8.47236824035645,"by_cell_type","Megakaryocytes",2.86554693038775,2.86554693038775,1,1,0,0,1,NA,"up_in_stim","strong",NA
"ISG20","Pattern2",2,8.47236824035645,"by_cell_type","NK cells",3.13372442482487,3.09622546378119,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"IFI6","Pattern2",3,6.68820381164551,"by_cell_type","B cells",6.8778940675149,5.90898552600351,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"IFI6","Pattern2",3,6.68820381164551,"by_cell_type","CD14+ Monocytes",4.30794899678055,4.01619733845029,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"IFI6","Pattern2",3,6.68820381164551,"by_cell_type","CD4 T cells",5.3609104064786,5.3456292837047,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"IFI6","Pattern2",3,6.68820381164551,"by_cell_type","CD8 T cells",5.22234755809031,5.05004432054745,5,5,0,0,1,0.0590582290905367,"up_in_stim","strong",0.0736928206665611
"IFI6","Pattern2",3,6.68820381164551,"by_cell_type","Dendritic cells",5.03174553976662,5.02651766090113,6,6,0,0,1,0.0360316862182336,"up_in_stim","strong",0.0545853156888165
"IFI6","Pattern2",3,6.68820381164551,"by_cell_type","FCGR3A+ Monocytes",3.6664655499191,3.52363392997071,6,6,0,0,1,0.0360316862182336,"up_in_stim","strong",0.0545853156888165
"IFI6","Pattern2",3,6.68820381164551,"by_cell_type","Megakaryocytes",1.30325092564244,1.30325092564244,1,1,0,0,1,NA,"up_in_stim","strong",NA
"IFI6","Pattern2",3,6.68820381164551,"by_cell_type","NK cells",5.07654293428631,5.09103777254098,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"IFIT3","Pattern2",4,4.98956537246704,"by_cell_type","B cells",8.7097396840317,6.91801655217357,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
